"id","treatment","status_group","year","period","period_3_4yr","total_duct_area_mm2","duct_size_mm2","duct_production","rel_duct_area","duct_density","bai_cm2","ringwidth_mm","ring_area_mm2","plot","is_dead","group","resin_flow_24hr","resin_flow_48hr","relative_bai","pdsi_early_growing_season","pdsi_late_growing_season","pdsi_full_season"
123,"45_removal","new_drought_dead",2021,"2020-2022","2020-2022",0,NA,0,NA,NA,0,0,0,12,1,"new_drought",NA,NA,0,-3.22,-2.082,-2.651
123,"45_removal","new_drought_dead",2022,"2020-2022","2020-2022",0,NA,0,NA,NA,0,0,0,12,1,"new_drought",0,0,0,-2.678,1.857,-0.41
125,"45_removal","new_drought_dead",1990,"1990-1999","1990-2005",0.149741636,0.0249569393333333,6,3.84544519774011,1.54083204930663,4.283,0.649,3.894,12,1,"new_drought",NA,NA,0.0124,-1.81,0.408,-0.701
125,"45_removal","new_drought_dead",1991,"1990-1999","1990-2005",0.172322236,0.0246174622857143,7,3.34346596818005,1.3581684128832,5.709,0.859,5.154,12,1,"new_drought",NA,NA,0.0164,-1.25,1.68,0.215
125,"45_removal","new_drought_dead",1992,"1990-1999","1990-2005",0.195677028,0.032612838,6,4.83153155555556,1.48148148148148,4.519,0.675,4.05,12,1,"new_drought",NA,NA,0.0128,5.293,5.947,5.62
125,"45_removal","new_drought_dead",1993,"1990-1999","1990-2005",0.067354704,0.022451568,3,2.30508911704312,1.02669404517454,3.278,0.487,2.922,12,1,"new_drought",NA,NA,0.0091,2.55,0.788,1.669
125,"45_removal","new_drought_dead",1994,"1990-1999","1990-2005",0.08322564,0.02080641,4,3.01542173913043,1.44927536231884,3.11,0.46,2.76,12,1,"new_drought",NA,NA,0.0086,-1.73,-1.282,-1.506
125,"45_removal","new_drought_dead",1995,"1990-1999","1990-2005",0.14290294,0.028580588,5,4.8115468013468,1.68350168350168,3.361,0.495,2.97,12,1,"new_drought",NA,NA,0.0092,-0.792,-1.648,-1.22
125,"45_removal","new_drought_dead",1996,"1990-1999","1990-2005",0.044903136,0.022451568,2,1.88510226700252,0.839630562552477,2.707,0.397,2.382,12,1,"new_drought",NA,NA,0.0073,-2.455,2.095,-0.18
125,"45_removal","new_drought_dead",1997,"1990-1999","1990-2005",0.174644812,0.0291074686666667,6,3.30016651549509,1.13378684807256,6.049,0.882,5.292,12,1,"new_drought",NA,NA,0.0163,1.26,1.832,1.546
125,"45_removal","new_drought_dead",1998,"1990-1999","1990-2005",0.197999604,0.0282856577142857,7,3.32660625,1.1760752688172,6.862,0.992,5.952,12,1,"new_drought",NA,NA,0.0182,2.268,0.2,1.234
125,"45_removal","new_drought_dead",1999,"1990-1999","1990-2005",0.148515832,0.0297031664,5,2.63325943262411,0.886524822695036,6.56,0.94,5.64,12,1,"new_drought",NA,NA,0.0171,-2.455,0.865,-0.795
125,"45_removal","new_drought_dead",2000,"2000-2009","1990-2005",0.24225758,0.0302821975,8,7.12103409758965,2.35155790711346,3.984,0.567,3.402,12,1,"new_drought",NA,NA,0.0102,-2.082,-1.795,-1.939
125,"45_removal","new_drought_dead",2001,"2000-2009","1990-2005",0.263612376,0.032951547,8,3.78101514629948,1.14744693057946,8.227,1.162,6.972,12,1,"new_drought",NA,NA,0.0208,3.228,1.442,2.335
125,"45_removal","new_drought_dead",2002,"2000-2009","1990-2005",0.098257868,0.0196515736,5,4.1564241962775,2.11505922165821,2.809,0.394,2.364,12,1,"new_drought",NA,NA,0.007,-2.652,-2.075,-2.364
125,"45_removal","new_drought_dead",2003,"2000-2009","1990-2005",0.121548144,0.020258024,6,4.19420786749482,2.0703933747412,3.457,0.483,2.898,12,1,"new_drought",NA,NA,0.0085,-1.865,-4.225,-3.045
125,"45_removal","new_drought_dead",2004,"2000-2009","1990-2005",0.152967436,0.0218524908571429,7,4.88401775223499,2.23499361430396,3.752,0.522,3.132,12,1,"new_drought",NA,NA,0.0092,-2.148,-1.68,-1.914
125,"45_removal","new_drought_dead",2005,"2000-2009","1990-2005",0.200451212,0.0400902424,5,4.40745848724714,1.09938434476693,5.479,0.758,4.548,12,1,"new_drought",NA,NA,0.0133,2.625,-0.795,0.915
125,"45_removal","new_drought_dead",2006,"2000-2009","2006-2009",0,NA,0,0,0,1.706,0.235,1.41,12,1,"new_drought",NA,NA,0.0041,-3.788,3.625,-0.081
125,"45_removal","new_drought_dead",2007,"2000-2009","2006-2009",0.29258006,0.029258006,10,7.27811094527363,2.48756218905473,4.883,0.67,4.02,12,1,"new_drought",NA,NA,0.0116,2.05,-0.752,0.649
125,"45_removal","new_drought_dead",2008,"2000-2009","2006-2009",0,NA,0,0,0,1.873,0.256,1.536,12,1,"new_drought",NA,NA,0.0044,-2.055,-0.838,-1.446
125,"45_removal","new_drought_dead",2009,"2000-2009","2006-2009",0.115032028,0.028758007,4,3.38727997644287,1.17785630153121,4.156,0.566,3.396,12,1,"new_drought",NA,NA,0.0097,-3.042,-1.552,-2.297
125,"45_removal","new_drought_dead",2010,"2010-2019","2010-2013",0.246064024,0.0273404471111111,9,4.93509875651825,1.80505415162455,6.138,0.831,4.986,12,1,"new_drought",NA,NA,0.0142,1.905,-0.405,0.75
125,"45_removal","new_drought_dead",2011,"2010-2019","2010-2013",0,NA,0,0,0,1.833,0.247,1.482,12,1,"new_drought",NA,NA,0.0042,-4.53,-5.285,-4.907
125,"45_removal","new_drought_dead",2012,"2010-2019","2010-2013",0.241225324,0.0241225324,10,4.07337595406957,1.68861870989531,7.362,0.987,5.922,12,1,"new_drought",NA,NA,0.0168,-2.782,-3.65,-3.216
125,"45_removal","new_drought_dead",2013,"2010-2019","2010-2013",0.231225344,0.028903168,8,5.03101270670148,1.74064403829417,5.756,0.766,4.596,12,1,"new_drought",NA,NA,0.0129,-4.605,2.292,-1.156
125,"45_removal","new_drought_dead",2014,"2010-2019","2014-2016",0.154257756,0.0220368222857143,7,8.13595759493671,3.69198312236287,2.385,0.316,1.896,12,1,"new_drought",NA,NA,0.0053,-2.908,0.902,-1.002
125,"45_removal","new_drought_dead",2015,"2010-2019","2014-2016",0.273483324,0.0390690462857143,7,5.34355849941383,1.36772176631497,6.47,0.853,5.118,12,1,"new_drought",NA,NA,0.0142,0.325,-0.02,0.152
125,"45_removal","new_drought_dead",2016,"2010-2019","2014-2016",0.246257572,0.0351796531428571,7,5.74830933706816,1.63398692810458,5.451,0.714,4.284,12,1,"new_drought",NA,NA,0.0118,-1.335,-2.34,-1.837
125,"45_removal","new_drought_dead",2017,"2010-2019","2017-2019",0.216644728,0.0309492468571429,7,5.30991980392157,1.7156862745098,5.221,0.68,4.08,12,1,"new_drought",NA,NA,0.0112,-0.792,-1.265,-1.029
125,"45_removal","new_drought_dead",2018,"2010-2019","2017-2019",0,NA,0,0,0,0.832,0.108,0.648,12,1,"new_drought",NA,NA,0.0018,-4.093,-2.8,-3.446
